year_film,year_ceremony,ceremony,category,name,film,win,cat__c
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,ACTOR
1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,ACTOR
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,ACTRESS
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,ACTRESS
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,ACTRESS
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,ART DIRECTION
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,ART DIRECTION
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False,ART DIRECTION
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False,CINEMATOGRAPHY
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,CINEMATOGRAPHY
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True,CINEMATOGRAPHY
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,DIRECTING
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,DIRECTING
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,OUTSTANDING PICTURE
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False,OUTSTANDING PICTURE
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,OUTSTANDING PICTURE
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,WRITING
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False,WRITING
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True,WRITING
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,False,WRITING
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,WRITING
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False,WRITING
1927,1928,1,WRITING (Title Writing),Joseph Farnham, ,True,WRITING
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.", ,False,WRITING
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False,ACTOR
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True,ACTOR
1928,1929,2,ACTOR,Chester Morris,Alibi,False,ACTOR
1928,1929,2,ACTOR,Paul Muni,The Valiant,False,ACTOR
1928,1929,2,ACTOR,Lewis Stone,The Patriot,False,ACTOR
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False,ACTRESS
1928,1929,2,ACTRESS,Betty Compson,The Barker,False,ACTRESS
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False,ACTRESS
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False,ACTRESS
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False,ACTRESS
1928,1929,2,ACTRESS,Mary Pickford,Coquette,True,ACTRESS
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,False,ART DIRECTION
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True,ART DIRECTION
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,False,ART DIRECTION
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,False,ART DIRECTION
1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,False,ART DIRECTION
1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False,CINEMATOGRAPHY
1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True,CINEMATOGRAPHY
1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False,CINEMATOGRAPHY
1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,False,CINEMATOGRAPHY
1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,False,CINEMATOGRAPHY
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,False,DIRECTING
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,False,DIRECTING
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,False,DIRECTING
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True,DIRECTING
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False,DIRECTING
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,False,DIRECTING
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,False,OUTSTANDING PICTURE
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,False,OUTSTANDING PICTURE
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True,OUTSTANDING PICTURE
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False,OUTSTANDING PICTURE
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,False,OUTSTANDING PICTURE
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,False,WRITING
1928,1929,2,WRITING,Elliott Clawson,The Cop;,False,WRITING
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,False,WRITING
1928,1929,2,WRITING,Hans Kraly,The Patriot,True,WRITING
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,False,WRITING
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,False,WRITING
1929,1930,3,ACTOR,George Arliss,Disraeli,True,ACTOR
1929,1930,3,ACTOR,George Arliss,The Green Goddess,False,ACTOR
1929,1930,3,ACTOR,Wallace Beery,The Big House,False,ACTOR
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False,ACTOR
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False,ACTOR
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False,ACTOR
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False,ACTRESS
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False,ACTRESS
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False,ACTRESS
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True,ACTRESS
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False,ACTRESS
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False,ACTRESS
1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,False,ART DIRECTION
1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,True,ART DIRECTION
1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,False,ART DIRECTION
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,False,ART DIRECTION
1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,False,ART DIRECTION
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False,CINEMATOGRAPHY
1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,False,CINEMATOGRAPHY
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,False,CINEMATOGRAPHY
1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,False,CINEMATOGRAPHY
1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True,CINEMATOGRAPHY
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False,DIRECTING
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,False,DIRECTING
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,False,DIRECTING
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True,DIRECTING
1929,1930,3,DIRECTING,King Vidor,Hallelujah,False,DIRECTING
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True,OUTSTANDING PRODUCTION
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,False,OUTSTANDING PRODUCTION
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,False,OUTSTANDING PRODUCTION
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,False,OUTSTANDING PRODUCTION
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,False,OUTSTANDING PRODUCTION
1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,True,SOUND RECORDING
1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,False,SOUND RECORDING
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,False,SOUND RECORDING
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,False,SOUND RECORDING
1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,False,SOUND RECORDING
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,False,WRITING
1929,1930,3,WRITING,Frances Marion,The Big House,True,WRITING
1929,1930,3,WRITING,(Julian Josephson),Disraeli,False,WRITING
1929,1930,3,WRITING,(John Meehan),The Divorcee,False,WRITING
1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,False,WRITING
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True,ACTOR
1930,1931,4,ACTOR,Jackie Cooper,Skippy,False,ACTOR
1930,1931,4,ACTOR,Richard Dix,Cimarron,False,ACTOR
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False,ACTOR
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False,ACTOR
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False,ACTRESS
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True,ACTRESS
1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False,ACTRESS
1930,1931,4,ACTRESS,Ann Harding,Holiday,False,ACTRESS
1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False,ACTRESS
1930,1931,4,ART DIRECTION,Max Rée,Cimarron,True,ART DIRECTION
1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,False,ART DIRECTION
1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,False,ART DIRECTION
1930,1931,4,ART DIRECTION,Anton Grot,Svengali,False,ART DIRECTION
1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,False,ART DIRECTION
1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,False,CINEMATOGRAPHY
1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,False,CINEMATOGRAPHY
1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,False,CINEMATOGRAPHY
1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,False,CINEMATOGRAPHY
1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,True,CINEMATOGRAPHY
1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,False,DIRECTING
1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,False,DIRECTING
1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,False,DIRECTING
1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,False,DIRECTING
1930,1931,4,DIRECTING,Norman Taurog,Skippy,True,DIRECTING
1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,True,OUTSTANDING PRODUCTION
1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,False,OUTSTANDING PRODUCTION
1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,False,OUTSTANDING PRODUCTION
1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,False,OUTSTANDING PRODUCTION
1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,False,OUTSTANDING PRODUCTION
1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department, ,False,SOUND RECORDING
1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department, ,False,SOUND RECORDING
1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department, ,True,SOUND RECORDING
1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department, ,False,SOUND RECORDING
1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,True,WRITING
1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,False,WRITING
1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,False,WRITING
1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,False,WRITING
1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,False,WRITING
1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True,WRITING
1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,False,WRITING
1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,False,WRITING
1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,False,WRITING
1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,False,WRITING
1931,1932,5,ACTOR,Wallace Beery,The Champ,True,ACTOR
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False,ACTOR
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,ACTOR
1931,1932,5,ACTRESS,Marie Dressler,Emma,False,ACTRESS
1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False,ACTRESS
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True,ACTRESS
1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False,ART DIRECTION
1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,False,ART DIRECTION
1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,True,ART DIRECTION
1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,False,CINEMATOGRAPHY
1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,False,CINEMATOGRAPHY
1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True,CINEMATOGRAPHY
1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True,DIRECTING
1931,1932,5,DIRECTING,King Vidor,The Champ,False,DIRECTING
1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,False,DIRECTING
1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,True,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,False,OUTSTANDING PRODUCTION
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,False,OUTSTANDING PRODUCTION
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,True,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,True,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,False,SHORT SUBJECT
1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,True,SHORT SUBJECT
1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department, ,False,SOUND RECORDING
1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department, ,True,SOUND RECORDING
1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department, ,False,SOUND RECORDING
1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department, ,False,SOUND RECORDING
1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,False,WRITING
1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,True,WRITING
1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,False,WRITING
1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,True,WRITING
1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,False,WRITING
1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,False,WRITING
1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,False,WRITING
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False,ACTOR
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,ACTOR
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,ACTOR
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True,ACTRESS
1932,1933,6,ACTRESS,May Robson,Lady for a Day,False,ACTRESS
1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False,ACTRESS
1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,True,ART DIRECTION
1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,False,ART DIRECTION
1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False,ART DIRECTION
1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,True,CINEMATOGRAPHY
1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,False,CINEMATOGRAPHY
1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False,CINEMATOGRAPHY
1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True,DIRECTING
1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,False,DIRECTING
1932,1933,6,DIRECTING,George Cukor,Little Women,False,DIRECTING
1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,True,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,False,OUTSTANDING PRODUCTION
1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,False,OUTSTANDING PRODUCTION
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,False,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,False,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,True,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,False,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,False,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,True,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,True,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,False,SHORT SUBJECT
1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,False,SHORT SUBJECT
1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,True,SOUND RECORDING
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,False,SOUND RECORDING
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,False,SOUND RECORDING
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,False,SOUND RECORDING
1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,False,WRITING
1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,True,WRITING
1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,False,WRITING
1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,True,WRITING
1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,False,WRITING
1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,False,WRITING
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True,ACTOR
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False,ACTOR
1934,1935,7,ACTOR,William Powell,The Thin Man,False,ACTOR
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True,ACTRESS
1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False,ACTRESS
1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False,ACTRESS
1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False,ACTRESS
1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,False,ART DIRECTION
1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,False,ART DIRECTION
1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,True,ART DIRECTION
1934,1935,7,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,False,CINEMATOGRAPHY
1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,True,CINEMATOGRAPHY
1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,False,CINEMATOGRAPHY
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,True,DIRECTING
1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,False,DIRECTING
1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,False,DIRECTING
1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,False,FILM EDITING
1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,True,FILM EDITING
1934,1935,7,FILM EDITING,Gene Milford,One Night of Love,False,FILM EDITING
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,False,MUSIC
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,False,MUSIC
1934,1935,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,True,MUSIC
1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,False,MUSIC
1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,True,MUSIC
1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,False,MUSIC
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,True,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,False,OUTSTANDING PRODUCTION
1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,False,OUTSTANDING PRODUCTION
1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,False,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,False,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,True,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,True,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,False,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",False,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,False,SHORT SUBJECT
1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,True,SHORT SUBJECT
